nom_reg_rbd_a,depe,zona,cod_ense2,categoria_asistencia,estudiantes,tasa_asistencia_promedio
ANTOF,Municipal,Rural,1,Asistencia esperada,19,0.9441035648242978
ANTOF,Municipal,Rural,1,Inasistencia Crítica,1,0.296969696969697
ANTOF,Municipal,Rural,1,Inasistencia Grave,14,0.7349910633922097
ANTOF,Municipal,Rural,1,Inasistencia Reiterada,10,0.8785334192993768
ANTOF,Municipal,Rural,2,Asistencia esperada,428,0.9465994817285659
ANTOF,Municipal,Rural,2,Inasistencia Crítica,5,0.03151515151515152
ANTOF,Municipal,Rural,2,Inasistencia Grave,69,0.7808242102758733
ANTOF,Municipal,Rural,2,Inasistencia Reiterada,104,0.8815965128286783
ANTOF,Municipal,Rural,4,Inasistencia Grave,1,0.7413793103448276
ANTOF,Municipal,Rural,5,Asistencia esperada,66,0.9484114168098912
ANTOF,Municipal,Rural,5,Inasistencia Crítica,2,0.3310207336523126
ANTOF,Municipal,Rural,5,Inasistencia Grave,17,0.7359826143652866
ANTOF,Municipal,Rural,5,Inasistencia Reiterada,21,0.8774931522057959
ANTOF,Municipal,Urbano,1,Asistencia esperada,2300,0.9429465491547298
ANTOF,Municipal,Urbano,1,Inasistencia Crítica,581,0.24565963914906452
ANTOF,Municipal,Urbano,1,Inasistencia Grave,3144,0.7358881708640707
ANTOF,Municipal,Urbano,1,Inasistencia Reiterada,1146,0.8751132945685847
ANTOF,Municipal,Urbano,2,Asistencia esperada,20140,0.9434086427591678
ANTOF,Municipal,Urbano,2,Inasistencia Crítica,1661,0.21368373172246524
ANTOF,Municipal,Urbano,2,Inasistencia Grave,14470,0.7615780368177576
ANTOF,Municipal,Urbano,2,Inasistencia Reiterada,9433,0.8762917975943239
ANTOF,Municipal,Urbano,3,Asistencia esperada,141,0.9479315168260836
ANTOF,Municipal,Urbano,3,Inasistencia Crítica,117,0.1849661609112473
ANTOF,Municipal,Urbano,3,Inasistencia Grave,105,0.7265857586484226
ANTOF,Municipal,Urbano,3,Inasistencia Reiterada,40,0.87898019231481
ANTOF,Municipal,Urbano,4,Asistencia esperada,174,0.9426203484451277
ANTOF,Municipal,Urbano,4,Inasistencia Crítica,97,0.27633380915929817
ANTOF,Municipal,Urbano,4,Inasistencia Grave,350,0.7223897815356972
ANTOF,Municipal,Urbano,4,Inasistencia Reiterada,85,0.8743521796296778
ANTOF,Municipal,Urbano,5,Asistencia esperada,3873,0.943677593949638
ANTOF,Municipal,Urbano,5,Inasistencia Crítica,585,0.2368456671844217
ANTOF,Municipal,Urbano,5,Inasistencia Grave,3685,0.7585774844334855
ANTOF,Municipal,Urbano,5,Inasistencia Reiterada,2124,0.876284568726622
ANTOF,Municipal,Urbano,6,Asistencia esperada,152,0.9405505479741325
ANTOF,Municipal,Urbano,6,Inasistencia Crítica,818,0.19647672460435925
ANTOF,Municipal,Urbano,6,Inasistencia Grave,565,0.6839966551538792
ANTOF,Municipal,Urbano,6,Inasistencia Reiterada,140,0.8786933487405536
ANTOF,Municipal,Urbano,7,Asistencia esperada,4610,0.9501153829122091
ANTOF,Municipal,Urbano,7,Inasistencia Crítica,598,0.26281550577547275
ANTOF,Municipal,Urbano,7,Inasistencia Grave,4106,0.7548623520608181
ANTOF,Municipal,Urbano,7,Inasistencia Reiterada,1967,0.8760000351180229
ANTOF,Municipal,Urbano,8,Asistencia esperada,55,0.9280865318996765
ANTOF,Municipal,Urbano,8,Inasistencia Crítica,319,0.20702196990764268
ANTOF,Municipal,Urbano,8,Inasistencia Grave,248,0.6853928836166966
ANTOF,Municipal,Urbano,8,Inasistencia Reiterada,47,0.8762043594647562
ANTOF,Particular Subvencionado,Urbano,1,Asistencia esperada,2630,0.9583000850170558
ANTOF,Particular Subvencionado,Urbano,1,Inasistencia Crítica,219,0.21577699808936465
ANTOF,Particular Subvencionado,Urbano,1,Inasistencia Grave,1341,0.7534708680675473
ANTOF,Particular Subvencionado,Urbano,1,Inasistencia Reiterada,763,0.8763705507498051
ANTOF,Particular Subvencionado,Urbano,2,Asistencia esperada,16161,0.9509427820595581
ANTOF,Particular Subvencionado,Urbano,2,Inasistencia Crítica,371,0.21967311617712887
ANTOF,Particular Subvencionado,Urbano,2,Inasistencia Grave,5043,0.77746174738095
ANTOF,Particular Subvencionado,Urbano,2,Inasistencia Reiterada,5195,0.876829554451948
ANTOF,Particular Subvencionado,Urbano,3,Asistencia esperada,148,0.969002515207183
ANTOF,Particular Subvencionado,Urbano,3,Inasistencia Crítica,102,0.2020367657078279
ANTOF,Particular Subvencionado,Urbano,3,Inasistencia Grave,62,0.7161888139336559
ANTOF,Particular Subvencionado,Urbano,3,Inasistencia Reiterada,17,0.8783969840137926
ANTOF,Particular Subvencionado,Urbano,4,Asistencia esperada,1736,0.9652061453016701
ANTOF,Particular Subvencionado,Urbano,4,Inasistencia Crítica,166,0.24091028371203893
ANTOF,Particular Subvencionado,Urbano,4,Inasistencia Grave,742,0.7462156652126182
ANTOF,Particular Subvencionado,Urbano,4,Inasistencia Reiterada,376,0.8755189241953519
ANTOF,Particular Subvencionado,Urbano,5,Asistencia esperada,7183,0.9511545321149396
ANTOF,Particular Subvencionado,Urbano,5,Inasistencia Crítica,264,0.23491100035782195
ANTOF,Particular Subvencionado,Urbano,5,Inasistencia Grave,1979,0.7720381384418615
ANTOF,Particular Subvencionado,Urbano,5,Inasistencia Reiterada,2182,0.8772502210759503
ANTOF,Particular Subvencionado,Urbano,6,Asistencia esperada,57,0.9795515012115108
ANTOF,Particular Subvencionado,Urbano,6,Inasistencia Crítica,71,0.2411822132506703
ANTOF,Particular Subvencionado,Urbano,6,Inasistencia Grave,31,0.6499742614474993
ANTOF,Particular Subvencionado,Urbano,6,Inasistencia Reiterada,8,0.874331139335703
ANTOF,Particular Subvencionado,Urbano,7,Asistencia esperada,1566,0.9532723295733755
ANTOF,Particular Subvencionado,Urbano,7,Inasistencia Crítica,75,0.24442951248150124
ANTOF,Particular Subvencionado,Urbano,7,Inasistencia Grave,511,0.7723072355029763
ANTOF,Particular Subvencionado,Urbano,7,Inasistencia Reiterada,507,0.8772565697995159
ANTOF,Particular Subvencionado,Urbano,8,Asistencia esperada,54,0.9704018503462019
ANTOF,Particular Subvencionado,Urbano,8,Inasistencia Crítica,46,0.21833080110013203
ANTOF,Particular Subvencionado,Urbano,8,Inasistencia Grave,19,0.693405847503172
ANTOF,Particular Subvencionado,Urbano,8,Inasistencia Reiterada,9,0.8795949304567046
ARAUC,Corporación Admin Delegada,Urbano,5,Asistencia esperada,363,0.9443881904645082
ARAUC,Corporación Admin Delegada,Urbano,5,Inasistencia Crítica,44,0.299052075286731
ARAUC,Corporación Admin Delegada,Urbano,5,Inasistencia Grave,187,0.7570224244087592
ARAUC,Corporación Admin Delegada,Urbano,5,Inasistencia Reiterada,167,0.8779348085913067
ARAUC,Corporación Admin Delegada,Urbano,7,Asistencia esperada,700,0.9422490263296207
ARAUC,Corporación Admin Delegada,Urbano,7,Inasistencia Crítica,58,0.2426954250128505
ARAUC,Corporación Admin Delegada,Urbano,7,Inasistencia Grave,406,0.7635357421449716
ARAUC,Corporación Admin Delegada,Urbano,7,Inasistencia Reiterada,374,0.8758091813846807
ARAUC,Municipal,Rural,1,Asistencia esperada,716,0.959864689286137
ARAUC,Municipal,Rural,1,Inasistencia Crítica,101,0.2817984593109716
ARAUC,Municipal,Rural,1,Inasistencia Grave,437,0.7432680036832374
ARAUC,Municipal,Rural,1,Inasistencia Reiterada,190,0.8755649931580451
ARAUC,Municipal,Rural,2,Asistencia esperada,6856,0.9616279502938079
ARAUC,Municipal,Rural,2,Inasistencia Crítica,76,0.24378322573695121
ARAUC,Municipal,Rural,2,Inasistencia Grave,1105,0.7783335078847282
